zone,n_train,n_val,r2_train,rmse_train,r2_val,rmse_val
north,212,36,0.9716945245848407,0.009130260281674669,0.5399078408560465,0.02960125242786092
central,212,36,0.8683406550608223,0.0016372940273936738,-1.6967379963673572,0.003546113395406574
south,212,36,0.9156173298749257,0.000800760801882613,-0.24874751686790675,0.0037475263336001325
