zone,mean_rmse_lstm,mean_rmse_arima,mean_rmse_linear,rmse_reduction_vs_linear_pct,rmse_reduction_vs_arima_pct
north,3.3108665382478453,2.901481762190123,2.901481762190123,-14.109507128133961,-14.109507128133961
central,1.4716325514629363,0.6385098233318157,0.6385098233318157,-130.47923425575397,-130.47923425575397
south,0.7765691264677952,0.5961048119352166,0.5961048119352166,-30.27392346435061,-30.27392346435061
