zone,variable,sen_slope_yr,p_value,trend
central,gwsa,-0.5027010389143899,1.0271339334622098e-11,decreasing
north,gwsa,-0.5252148411286486,2.5426625249735935e-09,decreasing
south,gwsa,-0.3127511310587296,4.830422676516122e-06,decreasing
south,ndvi,-0.00020529552485789817,0.011889287138695082,decreasing
south,precip_mm,-0.0012389158095238095,0.006804661686004465,decreasing
