zone,n_train,n_val,r2_rf,rmse_rf,rmse_reduction_pct,n_features
north,114240,55760,0.9464261824800647,1.1870891558046437,76.85398143957902,12
central,94080,45920,0.9974982529876941,0.11234580310677081,94.99825329279273,12
south,87360,42640,0.9990011202651389,0.07416746270001447,96.8394941309006,12
