,count,mean,std,min,25%,50%,75%,max,missing_pct,skewness
gwsa,750.0,-3.5325446383139503,3.228932513089248,-11.034112207522329,-5.803636239096628,-3.7210698065817667,-0.8682094722136116,2.5046132906342797,0.0,-0.35983140572783595
gwsa_anomaly,750.0,-2.71190213702295,2.9782313366779425,-9.841426599380455,-5.056207950128867,-1.9973720708459346,-0.3132313055109917,2.4725675177972906,0.0,-0.3451158853235519
precip_mm,750.0,0.491758793592453,0.6788908243179321,2.4932662199717015e-05,0.03754484746605158,0.17368091642856598,0.6868699193000793,3.652587652206421,0.0,1.8923672437667847
precip_anomaly,750.0,-0.05032467097043991,0.4336783289909363,-1.7098950147628784,-0.24179279804229736,-0.03519485890865326,0.062227871268987656,1.9088138341903687,0.0,0.6653012037277222
spi3,744.0,-0.0032820361008925906,0.9993333552132788,-2.9151670538276675,-0.754130648310884,-0.023341208305057502,0.6957578668526235,2.8711208613661143,0.8,0.06929740447961066
spi12,717.0,0.0006531357978213432,1.0007779435331379,-2.765748970344873,-0.740616441975436,0.07216832504664225,0.6994322153447491,2.27891821342635,4.3999999999999995,-0.18843330124649915
t2m_c,750.0,20.727323532104492,7.399808406829834,8.265602111816406,13.418437242507935,20.16421890258789,27.39825677871704,35.89334487915039,0.0,0.20565685629844666
t2m_anomaly,750.0,-0.04177263006567955,2.690068483352661,-20.814586639404297,-0.5763688087463379,0.27176380157470703,1.0915536880493164,4.422462463378906,0.0,-4.517587661743164
ndvi,750.0,0.160514823055569,0.08027700401494059,0.09644477333923501,0.10579866704578683,0.11261822747289973,0.21387465394297997,0.37677996121981316,0.0,1.127000913018395
ndvi_anomaly,750.0,-0.002911451241669044,0.015556512797340197,-0.10396554668675353,-0.00539343078459353,-0.00168082752339805,0.0006934402523712732,0.091272137067232,0.0,-0.6588282350036571
month_sin,750.0,0.005464101615137739,0.7061409138742794,-1.0,-0.5000000000000004,-6.123233995736765e-17,0.8660254037844386,1.0,0.0,-0.005888134863771836
month_cos,750.0,0.0014641016151377038,0.7089908888792665,-1.0,-0.5000000000000004,-6.123233995736766e-17,0.8660254037844384,1.0,0.0,0.008150559412229856
year_norm,750.0,0.5243636363636364,0.3248037711695616,0.0,0.22727272727272727,0.5,0.8181818181818182,1.0454545454545454,0.0,0.07088969284359861
gwsa_lag1,747.0,-3.5408545171699686,3.2314930764765486,-11.034112207522329,-5.810734942796852,-3.749157744540208,-0.8745513365826632,2.5046132906342797,0.4,-0.35506946218634056
gwsa_lag2,744.0,-3.5492313826174824,3.2340506561946527,-11.034112207522329,-5.818075684668472,-3.7818979458846034,-0.8808932009517149,2.5046132906342797,0.8,-0.350273613893558
gwsa_lag3,741.0,-3.530426513474326,3.2232763718861146,-11.034112207522329,-5.807274212970912,-3.749157744540208,-0.8618676078445598,2.5046132906342797,1.2,-0.3510082883470891
gwsa_lag4,738.0,-3.5121940758243313,3.2132436454705298,-11.034112207522329,-5.7878562991365,-3.7210698065817667,-0.8524540575987167,2.5046132906342797,1.6,-0.3521273301476329
gwsa_lag5,735.0,-3.4958211361400484,3.205636740238152,-11.034112207522329,-5.730061431898132,-3.674409219501092,-0.8491806760881546,2.5046132906342797,2.0,-0.3545260420665588
gwsa_lag6,732.0,-3.4805026298699167,3.1994817721327706,-11.034112207522329,-5.682825551433726,-3.6351817269580255,-0.8463081709035956,2.5046132906342797,2.4,-0.3577524092444232
gwsa_lag7,729.0,-3.4631153782442317,3.190668231971892,-11.034112207522329,-5.658725229482413,-3.604718565339589,-0.8380972496357622,2.5046132906342797,2.8000000000000003,-0.35955651745990397
