year,n,rmse_linear,mae_linear,rmse_arima,mae_arima,rmse_lstm,mae_lstm,zone
2019,12,2.49598464658837,2.143704212546289,2.49598464658837,2.143704212546289,4.4329069136841825,3.986360261269576,north
2020,12,3.332711753418339,2.868498972546769,3.332711753418339,2.868498972546769,2.513405939969358,1.8466473457253818,north
2021,12,3.423451852259689,2.9779555812073775,3.423451852259689,2.9779555812073775,2.0933787213597483,1.6839372296950141,north
2022,12,1.7439233887460197,1.3526841316391274,1.7439233887460197,1.3526841316391274,2.2533632359437044,1.8768302334680946,north
2023,12,2.2363032657365736,1.854490651917106,2.2363032657365736,1.854490651917106,3.19732786560802,2.836997279339007,north
2024,12,4.176515666391749,3.5845981377906853,4.176515666391749,3.5845981377906853,5.3748165529220575,4.90921330943459,north
2019,12,0.4160560183561434,0.31503867971462984,0.4160560183561434,0.31503867971462984,1.503856446044768,1.4576665730124325,central
2020,12,0.6919350734148836,0.5730479442939537,0.6919350734148836,0.5730479442939537,1.213085656528831,1.105805629467155,central
2021,12,0.6797461313713158,0.5940287756881428,0.6797461313713158,0.5940287756881428,0.6446057961705289,0.4725744729992156,central
2022,12,0.5378250828887886,0.4607965949084645,0.5378250828887886,0.4607965949084645,0.9270833270084755,0.806150647094594,central
2023,12,0.6370094633194475,0.5452746298945517,0.6370094633194475,0.5452746298945517,2.521335063092863,2.4592604148883095,central
2024,12,0.8684871706403159,0.7116474807636686,0.8684871706403159,0.7116474807636686,2.0198290199321516,1.9418770566315164,central
2019,12,0.3793466996284557,0.30163988989110685,0.3793466996284557,0.30163988989110685,0.7249746267851443,0.6459748308390603,south
2020,12,0.6527806240380443,0.5478255681021904,0.6527806240380443,0.5478255681021904,0.5209052279964919,0.4182920273135433,south
2021,12,0.4906471454668091,0.39738019220402016,0.4906471454668091,0.39738019220402016,1.8006616075095778,1.765083280100227,south
2022,12,0.52271401894749,0.45727140620848566,0.52271401894749,0.45727140620848566,0.585029816760541,0.4713921379355995,south
2023,12,0.9103263043154805,0.7965956934987336,0.9103263043154805,0.7965956934987336,0.42610925493016005,0.33463280681156604,south
2024,12,0.6208140792150202,0.5506040994428426,0.6208140792150202,0.5506040994428426,0.6017342248248561,0.5488158398167046,south
